;Arriving;;;;;;Arriving;;;;;
Timeslot;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Bleekstraat;CS Centrumzijde;Bleekstraat;Stadion Galgenwaard;De Kromme Rijn;Padualaan;Heidelberglaan
0;0.228038898;3.353458251;0;0;0;0;13.42482829;1.247454775;0;0;0;0
1;0.331199351;5.562482337;1.573667717;0.220015829;0.294109888;2.729421718;37.6212671;8.654217501;0;0.118125;0;0
2;0.434359805;7.771506423;0;0.104769442;1.12041862;3.721838573;61.81770591;16.06098023;0.468172356;0.2165625;0.001571595;0
3;1.254213937;7.601172035;0;0.602424294;1.516066445;4.714255429;86.47524525;18.33150005;1.070108243;0.039375;0;0
4;5.55625;9.490090978;2.847976022;1.100079145;1.91171427;5.458843436;91.41267507;27.82565453;1.816734927;0.20625;0;0
5;15.5019375;11.37900992;5.695952045;13.98741466;1.510890174;6.715192383;105.8027421;24.53294456;3.880520349;0.424898818;0.00554625;0
6;17.96972561;12.05980539;4.588405814;9.175744017;2.928802492;13.74579532;148.6064109;42.67216804;6.887503649;0.184347635;0.005414197;0.004972222
7;19.63208333;7.975032594;4.170250604;12.83511812;3.835336596;13.13259353;175.8701773;61.52180498;3.888106899;0.454761185;0.007335364;0.002516064
8;13.335;6.12540154;3.907865359;5.871383821;2.411613163;11.48591829;389.1085298;54.87130796;4.468477977;1.380340695;0.00554625;0.003423497
9;22.60445122;6.613441663;3.296700842;3.681625686;2.00054815;8.083238148;592.6363477;28.10530935;8.647643471;1.555433172;0.005414197;0.012430554
10;15.3590625;6.519272676;6.332602769;7.646453348;3.234621225;7.308984854;622.5971464;40.96243967;14.40567028;0.889774675;0.016438285;0.027676704
11;27.63057203;6.31356747;4.97340998;3.760550827;2.280624891;6.206465688;309.5525453;26.06928584;8.196129342;1.720577929;0.026669933;0.041081962
12;9.577633703;6.266638546;2.776663799;1.99547179;0.854917193;4.659591633;181.9447733;13.5140934;4.745659819;0.802464989;0.013850819;0.013517353
13;8.177946676;6.398552525;1.447050774;0.436238282;0.61480598;3.639228957;183.9866669;15.06460216;0.868289583;0.075721154;0.001625788;0.009416887
14;10.42463532;6.265671995;1.920249297;0.45181822;0.409971359;2.648065489;160.1325439;12.14040808;1.471398834;0.0721875;0.002095461;0.002275748
15;9.947213986;12.64292306;4.341152322;0.398304518;0.527889542;2.775683103;163.4693135;14.44421318;0.916527893;0.145833333;0.000561284;0.007314903
16;4.975394131;11.21884215;6.257859927;1.196577315;0.980366292;3.724942692;201.9453188;16.6600868;1.245384593;0.149353448;0.005790088;0.004876602
17;9.971870442;11.86025348;14.30607015;0.424591951;0.928768066;3.734555448;240.11563;21.14330127;1.86253017;0.176508621;0.003251577;0.002395524
18;18.80617082;23.06434064;26.75235119;1.100079145;0.931347978;3.963058653;224.9247546;22.70586542;4.108451291;0.179605263;0.010477303;0.016200237
19;13.75834683;74.78572487;26.0585837;3.047760253;1.301797864;4.686809174;109.4849172;14.29375263;2.135523029;0.210452586;0.004335436;0.012413169
20;10.93014027;48.33605341;22.47450734;8.006905168;1.212995582;3.855115421;80.57200673;18.35971745;1.682831511;0.427777778;0.003143191;0.013654486
21;6.429949246;28.7559045;19.38189617;3.505336936;1.584925506;4.67399511;84.59280421;5.432464342;1.510233408;0.08891129;0.005488111;0.008669515
22;12.10077377;23.6905599;26.10290102;1.990619405;1.510728385;6.370420237;83.5956167;9.207404292;1.910907577;0.075;0.001520899;0.006607009
23;18.49648837;51.88101548;25.29713158;1.508173021;1.665441533;9.341455584;71.3962097;7.846892939;1.210241465;0.13125;0.003367704;0
24;15.89032954;47.9775191;32.90963836;1.711234225;2.365328197;7.431193916;100.9788195;8.228692642;2.006452956;0.129098361;0.002061109;0.002202336
25;10.4789303;38.71558679;43.71299214;1.414387472;2.412012307;9.986584709;122.4993984;10.39545646;0.976686095;0.15;0.005488111;0.008809346
26;19.76337113;68.24021393;61.44797752;1.903311536;1.618382451;9.971898556;172.0434075;14.80114991;3.01498751;0.1625;0.007483788;0.011378738
27;23.92598593;130.7316423;55.2865272;5.500395724;1.882925736;9.32570778;139.9499474;14.256626;2.866361366;0.50625;0.01197406;0.006502136
28;17.77255536;93.95006053;67.35963931;10.77379099;2.474257785;8.003953922;93.60511264;11.9212412;3.797158282;0.711290323;0.009479464;0.004334757
29;13.10318746;44.89020833;49.74954819;2.514466617;2.380889567;10.16281856;70.37812168;7.524330389;1.910907577;0.13125;0.00405573;0.002202336
30;14.45472368;38.00586018;53.59776875;2.306617561;1.854427806;9.957212401;57.70775607;5.989763007;0.934221482;0.0625;0.005238651;0.015171651
31;11.76391139;56.35229315;39.49781075;1.466772193;2.147469021;9.1925849;45.38389003;4.449762459;1.512801832;0.08125;0.00598703;0.004334757
32;16.43548641;64.46702802;56.02429058;1.650118717;2.057162056;12.67415089;46.34901483;7.444488173;1.15928393;0.058094262;0.005668049;0.004476881
33;20.29546189;47.7764299;62.39624878;2.200158289;2.235713374;12.93802015;62.91348456;5.197728229;0.997918401;0.076209677;0.003041798;0.004935356
34;23.16987812;79.85995114;67.20335086;1.283425669;1.45421;11.24151657;86.12968982;9.207404291;1.828101582;0.126388889;0.002619326;0.004551495
35;30.70923822;107.9813557;53.02385946;3.01503173;3.262530448;12.01279245;58.14555723;14.11055401;1.486261449;0.20625;0.006485949;0.002167379
36;44.49539467;139.7634858;68.57608913;5.181017908;4.459471061;10.10896933;31.73697601;7.084311067;0.936344713;0.293644068;0.009429572;0.009257278
37;41.8193914;73.96692874;84.01355069;9.015282747;4.162538848;7.037797594;33.70837442;6.138269527;0.79826623;0.379518072;0.005576629;0.006580475
38;32.37589288;69.19302191;75.40491143;3.480578278;6.061533051;11.9038442;26.80934177;5.485795095;0.531830904;0.165120968;0.003408279;0.004404673
39;34.57966891;87.05359508;64.58057133;3.148976552;6.470417529;11.7094391;32.23969671;4.828857193;0.934221482;0.103125;0.002993515;0
40;45.34159859;111.5604078;88.15765394;10.60847168;9.552027877;8.827582328;58.86374886;10.35730744;0.787428567;0.201352781;0.068938105;0.004404673
41;59.98259885;95.0073465;92.02223732;9.217390688;11.75038954;12.41202028;102.5342668;9.3541;0.758954474;0.065289381;0.281625564;0.124655438
42;66.94354242;124.4438116;114.8575988;10.08639344;12.27105471;14.24298854;109.477809;20.20453012;1.210886388;0.111542776;0.172452197;0.331052147
43;74.35428691;167.3677678;96.20827152;7.20679519;11.7887163;13.39580595;80.18781017;12.10616129;1.362601661;0.177572767;0.554310634;0.48660677
44;79.33001001;222.4608207;125.9048071;13.88553115;11.38907265;10.22069891;62.89833578;12.49686076;0.948272758;0.372075975;0.957526918;0.651425192
45;56.72683837;110.2806794;107.6906486;17.77889609;12.30859727;9.274942814;106.2848893;11.65862069;1.102868207;0.31236664;0.436519624;0
46;34.03908937;101.3415093;86.06311172;6.244524242;12.44358687;7.441134051;60.16716044;14.007;0.962212551;0.050850383;0.286242377;0.255622544
47;30.65777274;82.46307767;59.30001437;3.753322507;8.049273345;7.645635197;82.8850701;7.860825;0.732210611;0.03051023;0.06984314;0
48;19.05477569;43.99282519;36.84053083;2.211969624;5.999723214;5.510297064;35.07387569;8.636225365;0.794972375;0.032916544;0.028624238;0.171137127
49;22.91247972;76.11817934;54.32900451;2.462081895;4.387139158;6.013980057;42.50331735;8.019352125;1.337635304;0.35;0.001746217;0.00350115
50;15.39262559;62.26254153;49.70487057;1.878183906;5.602093099;8.018640075;52.6972024;10.54396298;0.700666112;0.0375;0;0.006502136
51;14.87682333;64.78029669;44.96193477;2.357312453;3.61061732;5.967718672;40.60276251;5.49474127;0.509575354;0.05625;0;0
52;11.07617503;115.9338424;46.71045445;2.907352025;2.520941894;6.036009288;58.13970035;6.831299958;0.414029975;0;0.001496758;0
53;7.058346833;57.59431473;37.09359618;3.509776319;3.174519423;5.551366206;37.23359711;3.5641565;0.318484596;0.05625;0;0
54;10.0337115;38.45298794;49.57053308;1.430102888;2.107787528;4.846430815;29.19943346;3.415649979;0.382181515;0.01875;0;0.013004272
55;9.230145859;37.36710622;34.22102813;1.309618029;4.94851557;4.903706815;23.76557439;2.650841397;0.445878435;0;0;0
56;9.447325761;30.76664872;49.08344546;1.78108052;2.100784912;9.164160086;27.03971205;3.712663021;0.668817652;0.0196875;0;0
57;10.31604537;27.99871492;33.59655681;1.571541635;3.221203532;4.317729271;16.32749386;3.118636937;1.019150708;0.01875;0;0
58;6.081037272;21.07888044;28.35099776;0.89054026;1.63394382;7.798347765;19.78304811;4.603702146;0.318484596;0;0;0
59;7.818476492;21.07888043;11.98984927;0.89054026;1.914048475;2.951916951;16.241105;2.376104333;0.700666112;0;0;0
60;6.623987028;21.29179842;27.97631497;0.471462491;1.493891493;7.66617238;19.19992333;3.378523349;0.509575354;0.0375;0;0
61;4.560777953;13.09445603;22.73075591;1.362002751;2.474257785;3.744969266;0;0;0;0;0.002619326;0
62;1.085899513;9.049014328;13.61347469;0.209538885;0.840313965;7.313704684;0;0;0;0;0;0
63;0;0;0;0;0;1.982630788;0;0;0;0;0;0
0;1;0;0;0;0;0;1;0.11662045;0;0;0;0
1;1;0;0;0;0;0;1;0.092446526;0.026400684;0.053209076;0.04;0.073981481
2;1;0;0;0;0.016462084;0.052500486;1;0.068272602;0.104476929;0.047503837;0.048119523;0.276105467
3;1;0;0;0;0.042984463;0.105000972;1;0.221420588;0.338492481;0.150160591;0.167063926;0.368940537
4;1;0;0.000339009;0;0.069506843;0.05189344;1;0.155006763;0.240799572;0.172173447;0.17150053;0.234436822
5;1;0;0.000678017;0.072273032;0.056832469;0.041353699;1;0.09071358;0.202093681;0.054924688;0.099078697;0.422346855
6;1;0;0.001167954;0.043315846;0.090203412;0.121541878;1;0.085555162;0.112269029;0.030312249;0.10741447;0.497759833
7;1;0;0;0.138880415;0.071810136;0.167446149;1;0.20495041;0.102246523;0.032694775;0.258942992;0.559050314
8;1;0;0.002213296;0.035279835;0.073306122;0.278721904;1;0.400811816;0.0816395;0.028481655;0.427660324;0.551721527
9;1;0.002565004;0.007811185;0.058412032;0.12682489;0.217631125;1;0.146664032;0.039708488;0.042546961;0.403589383;0.590825115
10;1;0.01742223;0.01105896;0.125336405;0.070980927;0.260057551;1;0.099059885;0.031220794;0.04388297;0.290531497;0.596592847
11;1;0.000198596;0.008018148;0.072202721;0.05873792;0.185993524;1;0.244558993;0.070137843;0.032055381;0.331901033;0.636362317
12;1;0.002862425;0.02779729;0.063073686;0.059692495;0.294553243;1;0.272913077;0.097398733;0.032866302;0.395578693;0.64187574
13;1;0;0.01724971;0.053300554;0.049227839;0.200858254;1;0.214052894;0.061479646;0.030953299;0.353422194;0.654794712
14;1;0.021388644;0.006071116;0.045928469;0.044909913;0.110251128;1;0.194408983;0.068459125;0.02486455;0.309394492;0.676324943
15;1;0.011609601;0.006903138;0.025829312;0.049991845;0.137953534;1;0.215696739;0.039522997;0.031442281;0.365015768;0.705905578
16;1;0;0.000292172;0.019012126;0.017903773;0.153771136;1;0.174879622;0.032327132;0.038364744;0.483918359;0.680308633
17;1;0.001464114;0.012289559;0.028933649;0.017626425;0.090129384;1;0.100647343;0.023698758;0.043543234;0.457666553;0.717174893
18;1;0.014723734;0.00575099;0.083314926;0.030259766;0.168215774;1;0.12445836;0.015206828;0.070039721;0.335263178;0.741006228
19;1;0.01714352;0.022421734;0.03738978;0.023597225;0.116696177;1;0.208507698;0.033627283;0.058328953;0.381505121;0.775809909
20;1;0.001099703;0.006710641;0.032697691;0.035578305;0.075807618;1;0.628168;0.028772774;0.033976855;0.412917304;0.726655705
21;1;0.012990674;0.005678294;0.020247093;0.028009979;0.06548428;1;0.188685347;0.02526977;0.02766929;0.526318541;0.714667626
22;1;0.00256577;0.017595029;0.02986021;0.024496091;0.070149902;1;0.207636746;0.030723398;0.028698393;0.315033987;0.795862087
23;1;0.011768428;0.029646302;0.009609634;0.02462086;0.05820427;1;0.205619018;0.037745972;0.022333998;0.413169153;0.827181832
24;1;0.006008072;0.008236341;0.008608381;0.024968374;0.070038263;1;0.159985697;0.046171323;0.040380673;0.473301729;0.717775741
25;1;0.01406396;0.028505696;0.013618376;0.026443915;0.066475684;1;0.127453891;0.033799282;0.038782162;0.438522435;0.785584105
26;1;0.009959803;0.01154783;0.015410664;0.026128581;0.057123126;1;0.107379317;0.027949065;0.078424689;0.377075004;0.815460111
27;1;0.039834641;0.008487647;0.019801854;0.041714932;0.061974187;1;0.095371074;0.02715414;0.076955277;0.373692736;0.74902109
28;1;0.01089977;0.003887088;0.011605914;0.021069506;0.083017195;1;0.224551302;0.032363198;0.075839967;0.399984637;0.827934927
29;1;0.001352598;0.011100424;0.006434246;0.024757101;0.069823721;1;0.15925978;0.076136841;0.046140116;0.470392567;0.745127318
30;1;0.008227883;0.007243966;0.022173039;0.022074818;0.066454022;1;0.269037663;0.050869908;0.036101016;0.367582127;0.743434842
31;1;0.042675212;0.006618891;0.009148822;0.027314754;0.063098165;1;0.210614505;0.089708607;0.036943333;0.440112456;0.677125028
32;1;0.000195874;0.009449915;0.012553638;0.024389624;0.062867359;1;0.233864101;0.060685681;0.038059778;0.352912107;0.628753441
33;1;0.00879591;0.009668532;0.014606909;0.043587511;0.067834293;1;0.172987978;0.04533436;0.059791363;0.339603908;0.665801722
34;1;0.004883792;0.005087557;0.025003789;0.02299373;0.065386617;1;0.134899069;0.036698613;0.100224068;0.24563318;0.731790525
35;1;0.028452975;0.020750489;0.024886167;0.02612794;0.05845135;1;0.136099844;0.039764639;0.110391281;0.264451174;0.745042698
36;1;0.021613139;0.004748265;0.011976234;0.021988816;0.07341316;1;0.252699665;0.072797812;0.075165483;0.282104668;0.665564416
37;1;0.005955625;0.002507967;0.004500243;0.024319743;0.075946555;1;0.245133195;0.080612674;0.039418796;0.343688555;0.635130414
38;1;0.011548823;0.00214016;0.002382415;0.01598363;0.088891647;1;0.298679326;0.079076164;0.021083091;0.370986332;0.671282599
39;1;0.012563596;0.00434376;0.004094683;0.01355499;0.065393992;1;0.31392904;0.08149472;0.031078369;0.337728227;0.598395657
40;1;0.063043555;0.003413083;0.003593536;0.012221834;0.081549711;1;0.298485254;0.125588063;0.026646206;0.2502398;0.589297331
41;1;0.006722099;0.006650586;0.004015804;0.020024549;0.080496665;1;0.314161468;0.080533132;0.027986335;0.257891114;0.459786551
42;1;0.015231482;0.003941102;0.003141444;0.014082894;0.083753159;1;0.274308519;0.115569566;0.072597028;0.32186515;0.55815551
43;1;0.029696909;0.00283417;0.009445649;0.017785265;0.088109374;1;0.235574817;0.098919743;0.046252508;0.337865853;0.725111256
44;1;0.004759324;0.005129707;0.004416861;0.015801633;0.078906863;1;0.259362624;0.086453877;0.039094981;0.33285313;0.57015261
45;1;0.006004311;0.003398773;0.006425775;0.011665864;0.071376538;1;0.31604061;0.107162153;0.064397905;0.231015729;0.660347987
46;1;0.010399758;0.009263498;0.013567989;0.013151876;0.073970452;1;0.3373305;0.188547088;0.074695702;0.250740773;0.606861007
47;1;0.005094371;0.004754374;0.004467986;0.019275367;0.077699884;1;0.370859669;0.141841554;0.101244025;0.227880257;0.634872964
48;1;0.010119669;0.003386856;0.005855427;0.010310872;0.088324736;1;0.388110555;0.141109139;0.083931414;0.226196374;0.707011531
49;1;0.012666173;0.001463263;0.009095007;0.020858254;0.085831159;1;0.430151542;0.18355598;0.121171416;0.211233057;0.76147976
50;1;0.004468018;0.004232794;0.009645313;0.022231313;0.102555587;1;0.456989217;0.147626258;0.129160548;0.268505801;0.798522566
51;1;0.006768142;0.003850158;0.011243201;0.017396295;0.090166332;1;0.502530624;0.225132624;0.151329186;0.145270412;0.791484104
52;1;0.022496856;0.001572908;0.016929749;0.01945144;0.10766768;1;0.52582639;0.268094576;0.117402631;0.159997654;0.804184704
53;1;0;0;0.004740371;0.018219063;0.109729572;1;0.542447613;0.311056527;0.12541853;0.142971611;0.843481915
54;1;0;0.002522154;0.004041079;0.010083453;0.129727752;1;0.602661348;0.274750759;0.107211134;0.130985363;0.904029631
55;1;0;0.004710267;0.00424085;0.03376544;0.101306614;1;0.562855235;0.17526301;0.123412698;0.148904006;0.798015873
56;1;0;0.001674934;0.005597829;0.016455124;0.099295842;1;0.590765311;0.218806435;0.203665924;0.224642857;0.819444444
57;1;0.007639644;0;0.003062594;0.014831771;0.105614446;1;0.537205538;0.258780417;0.104535147;0.109221466;0.953174603
58;1;0;0;0.001366294;0.008908963;0.094371861;1;0.627484231;0.115744953;0.205272109;0.035714286;0.875283447
59;1;0;0.002007154;0.004286089;0.020595576;0.111960137;1;0.547053119;0.196852133;0.190665155;0.134126984;0.839569161
60;1;0.012475165;0.002821884;0.002915464;0.041042421;0.109988836;1;0.754725669;0.194293739;0.137037037;0.101587302;0.841269841
61;1;0;0;0.002878117;0.038299702;0.137281157;1;0;0.389168947;0.066725661;0.069444444;0.821428571
62;1;0;0;0.004718766;0.011152711;0.114952874;1;0;0;0;0;0
63;1;0;0;0;0;0.149526087;1;0;0;0;0;0
